"Area","Section","User type","Current access","Can do now","Recommended final access","Priority","Decision / notes"
"Public","Launch page","Guest","Allowed","View coming soon page and submit launch interest","Allowed","High",""
"Public","Launch signup form","Guest","Allowed","Submit name, email, company, role interest, and message","Allowed; does not create active account","High",""
"Public","Login","Guest","Hidden but reachable","Can open /login, but page says owner/admin only","Keep hidden from public navigation","High",""
"Public","Register","Guest","Paused","Public registration blocked while launch mode is active","Open only when launch is ready","High",""
"Public","Onboarding","Guest","Paused","Public onboarding blocked while launch mode is active","Open only when public registration is enabled","High",""
"Public","Legal pages","Guest","Allowed","View legal and trust pages","Allowed","Medium",""
"Account","Login","Registered User","Allowed if account exists","Log in and access member area","Allowed after account approved/activated","High",""
"Account","Login","Verified Travel Professional","Allowed if account exists","Log in and access member area","Allowed after account approved/activated","High",""
"Account","Login","Supplier","Allowed if account exists","Log in and access member area","Allowed after account approved/activated","High",""
"Account","Login","Recruiter","Allowed if account exists","Log in and access member area","Allowed after account approved/activated","High",""
"Account","Login","Trainer","Allowed if account exists","Log in and access member area","Allowed after account approved/activated","High",""
"Account","Login","Advertiser","Allowed if account exists","Log in and access member area","Allowed after account approved/activated","High",""
"Account","Login","Moderator","Allowed if account exists","Log in and access admin/member area","Allowed","High",""
"Account","Login","Admin","Allowed if account exists","Log in and access admin/member area","Allowed","High",""
"Account","Login","Super Admin","Allowed if account exists","Log in and access admin/member area","Allowed","High",""
"Home","Dashboard","Registered User","Allowed","View home, feed, profile summary, sidebar, and suggestions","Allowed, but may limit posting until verified","Medium",""
"Home","Dashboard","Verified Travel Professional","Allowed","View home, feed, profile summary, sidebar, and suggestions","Allowed","High",""
"Home","Dashboard","Supplier","Allowed","View home, feed, profile summary, sidebar, and suggestions","Allowed","High",""
"Home","Dashboard","Recruiter","Allowed","View home, feed, profile summary, sidebar, and suggestions","Allowed","High",""
"Home","Dashboard","Trainer","Allowed","View home, feed, profile summary, sidebar, and suggestions","Allowed","High",""
"Home","Dashboard","Advertiser","Allowed","View home, feed, profile summary, sidebar, and suggestions","Allowed","High",""
"Home","Dashboard","Moderator","Allowed","View home and member tools","Allowed","High",""
"Home","Dashboard","Admin","Allowed","View home and member tools","Allowed","High",""
"Home","Dashboard","Super Admin","Allowed","View home and member tools","Allowed","High",""
"Feed","Create post","Registered User","Allowed","Create feed posts","Maybe allow after email verification or approval","Medium",""
"Feed","Create post","Verified Travel Professional","Allowed","Create feed posts","Allowed","High",""
"Feed","Create post","Supplier","Allowed","Create feed posts","Allowed; supplier updates may need supplier role","High",""
"Feed","Create post","Recruiter","Allowed","Create feed posts","Allowed","Medium",""
"Feed","Create post","Trainer","Allowed","Create feed posts","Allowed","Medium",""
"Feed","Create post","Advertiser","Allowed","Create feed posts","Maybe restrict sponsored-style posts to adverts system","Medium",""
"Feed","Like/comment","All logged-in member roles","Allowed","Like and comment on feed posts","Allowed","High",""
"Search","Global search","All logged-in member roles","Allowed","Search people, companies, suppliers, posts, groups, jobs, events, news, training, and support","Allowed","High",""
